Age,age group,Attrition,Business Travel,Department,Distance From Home,Education,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,attrition yes,Daily Rate,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
41,40 - 49,Yes,Travel_Rarely,Sales,1,College,Life Sciences,1,Female,Sales Executive,Single,Yes,Y,0,1,1102,1,2,94,3,2,Very High,5993,19479,8,11,3,1,80,0,8,1,6,4,0,5
49,40 - 49,No,Travel_Frequently,Research & Development,8,Below College,Life Sciences,2,Male,Research Scientist,Married,No,Y,3,0,279,1,3,61,2,2,Medium,5130,24907,1,23,4,4,80,1,10,3,10,7,1,7
37,30 - 39,Yes,Travel_Rarely,Research & Development,2,College,Other,4,Male,Laboratory Technician,Single,Yes,Y,3,1,1373,1,4,92,2,1,High,2090,2396,6,15,3,2,80,0,7,3,0,0,0,0
33,30 - 39,No,Travel_Frequently,Research & Development,3,Master,Life Sciences,5,Female,Research Scientist,Married,Yes,Y,3,0,1392,1,4,56,3,1,High,2909,23159,1,11,3,3,80,0,8,3,8,7,3,0
27,18-29,No,Travel_Rarely,Research & Development,2,Below College,Medical,7,Male,Laboratory Technician,Married,No,Y,3,0,591,1,1,40,3,1,Medium,3468,16632,9,12,3,4,80,1,6,3,2,2,2,2
32,30 - 39,No,Travel_Frequently,Research & Development,2,College,Life Sciences,8,Male,Laboratory Technician,Single,No,Y,2,0,1005,1,4,79,3,1,Very High,3068,11864,0,13,3,3,80,0,8,2,7,7,3,6
59,50 - 59,No,Travel_Rarely,Research & Development,3,Bachelor,Medical,10,Female,Laboratory Technician,Married,Yes,Y,3,0,1324,1,3,81,4,1,Low,2670,9964,4,20,4,1,80,3,12,2,1,0,0,0
30,30 - 39,No,Travel_Rarely,Research & Development,24,Below College,Life Sciences,11,Male,Laboratory Technician,Divorced,No,Y,2,0,1358,1,4,67,3,1,High,2693,13335,1,22,4,2,80,1,1,3,1,0,0,0
38,30 - 39,No,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,12,Male,Manufacturing Director,Single,No,Y,2,0,216,1,4,44,2,3,High,9526,8787,0,21,4,2,80,0,10,3,9,7,1,8
36,30 - 39,No,Travel_Rarely,Research & Development,27,Bachelor,Medical,13,Male,Healthcare Representative,Married,No,Y,3,0,1299,1,3,94,3,2,High,5237,16577,6,13,3,2,80,2,17,2,7,7,7,7
35,30 - 39,No,Travel_Rarely,Research & Development,16,Bachelor,Medical,14,Male,Laboratory Technician,Married,No,Y,5,0,809,1,1,84,4,1,Medium,2426,16479,0,13,3,3,80,1,6,3,5,4,0,3
29,18-29,No,Travel_Rarely,Research & Development,15,College,Life Sciences,15,Female,Laboratory Technician,Single,Yes,Y,3,0,153,1,4,49,2,2,High,4193,12682,0,12,3,4,80,0,10,3,9,5,0,8
31,30 - 39,No,Travel_Rarely,Research & Development,26,Below College,Life Sciences,16,Male,Research Scientist,Divorced,No,Y,1,0,670,1,1,31,3,1,High,2911,15170,1,17,3,4,80,1,5,2,5,2,4,3
34,30 - 39,No,Travel_Rarely,Research & Development,19,College,Medical,18,Male,Laboratory Technician,Divorced,No,Y,2,0,1346,1,2,93,3,1,Very High,2661,8758,0,11,3,3,80,1,3,3,2,2,1,2
28,18-29,Yes,Travel_Rarely,Research & Development,24,Bachelor,Life Sciences,19,Male,Laboratory Technician,Single,Yes,Y,4,1,103,1,3,50,2,1,High,2028,12947,5,14,3,2,80,0,6,3,4,2,0,3
29,18-29,No,Travel_Rarely,Research & Development,21,Master,Life Sciences,20,Female,Manufacturing Director,Divorced,No,Y,1,0,1389,1,2,51,4,3,Low,9980,10195,1,11,3,3,80,1,10,3,10,9,8,8
32,30 - 39,No,Travel_Rarely,Research & Development,5,College,Life Sciences,21,Male,Research Scientist,Divorced,Yes,Y,5,0,334,1,1,80,4,1,Medium,3298,15053,0,12,3,4,80,2,7,2,6,2,0,5
22,18-29,No,Non-Travel,Research & Development,16,College,Medical,22,Male,Laboratory Technician,Divorced,Yes,Y,2,0,1123,1,4,96,4,1,Very High,2935,7324,1,13,3,2,80,2,1,2,1,0,0,0
53,50 - 59,No,Travel_Rarely,Sales,2,Master,Life Sciences,23,Female,Manager,Married,No,Y,3,0,1219,1,1,78,2,4,Very High,15427,22021,2,16,3,3,80,0,31,3,25,8,3,7
38,30 - 39,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,24,Male,Research Scientist,Single,Yes,Y,3,0,371,1,4,45,3,1,Very High,3944,4306,5,11,3,3,80,0,6,3,3,2,1,2
24,18-29,No,Non-Travel,Research & Development,11,College,Other,26,Female,Manufacturing Director,Divorced,No,Y,5,0,673,1,1,96,4,2,High,4011,8232,0,18,3,4,80,1,5,2,4,2,1,3
36,30 - 39,Yes,Travel_Rarely,Sales,9,Master,Life Sciences,27,Male,Sales Representative,Single,No,Y,4,1,1218,1,3,82,2,1,Low,3407,6986,7,23,4,2,80,0,10,3,5,3,0,3
34,30 - 39,No,Travel_Rarely,Research & Development,7,Master,Life Sciences,28,Female,Research Director,Single,No,Y,4,0,419,1,1,53,3,3,Medium,11994,21293,0,11,3,3,80,0,13,3,12,6,2,11
21,18-29,No,Travel_Rarely,Research & Development,15,College,Life Sciences,30,Male,Research Scientist,Single,No,Y,6,0,391,1,3,96,3,1,Very High,1232,19281,1,14,3,4,80,0,0,3,0,0,0,0
34,30 - 39,Yes,Travel_Rarely,Research & Development,6,Below College,Medical,31,Male,Research Scientist,Single,No,Y,2,1,699,1,2,83,3,1,Low,2960,17102,2,11,3,3,80,0,8,3,4,2,1,3
53,50 - 59,No,Travel_Rarely,Research & Development,5,Bachelor,Other,32,Female,Manager,Divorced,No,Y,3,0,1282,1,3,58,3,5,High,19094,10735,4,11,3,4,80,1,26,2,14,13,4,8
32,30 - 39,Yes,Travel_Frequently,Research & Development,16,Below College,Life Sciences,33,Female,Research Scientist,Single,Yes,Y,5,1,1125,1,2,72,1,1,Low,3919,4681,1,22,4,2,80,0,10,3,10,2,6,7
